Time,HeartRate,Beats
0.001,63.4445219378301,0
0.002,63.4690002845629,0
0.003,63.4934786300494,0
0.004,63.5179569721519,0
0.005,63.5424353076608,0
0.006,63.5669136322939,0
0.007,63.5913919406936,0
0.008,63.6158702264258,0
0.009,63.640348481978,0
0.01,63.6648266987576,0
0.011,63.6893048670896,0
0.012,63.7137829762154,0
0.013,63.7382610142909,0
0.014,63.7627389685917,0
0.015,63.78721682634,0
0.016,63.8116945749111,0
0.017,63.8361722018333,0
0.018,63.8606496947874,0
0.019,63.8851270416066,0
0.02,63.9096042302764,0
0.021,63.9340812489343,0
0.022,63.9585580858689,0
0.023,63.9830347295206,0
0.024,64.0075111684809,0
0.025,64.0319873914919,0
0.026,64.0564633874464,0
0.027,64.0809391453874,0
0.028,64.105414654508,0
0.029,64.1298899041511,0
0.03,64.1543648838087,0
0.031,64.1788395831221,0
0.032,64.2033139918817,0
0.033,64.2277881000263,0
0.034,64.2522618976431,0
0.035,64.276735374967,0
0.036,64.3012085223808,0
0.037,64.3256813304145,0
0.038,64.3501537897454,0
0.039,64.3746258911974,0
0.04,64.399097625741,0
0.041,64.4235689844926,0
0.042,64.4480399587147,0
0.043,64.4725105398149,0
0.044,64.4969807193463,0
0.045,64.521450489007,0
0.046,64.5459198406392,0
0.047,64.5703887662297,0
0.048,64.5948572579089,0
0.049,64.6193253079506,0
0.05,64.6437929087721,0
0.051,64.6682600529332,0
0.052,64.6927267331365,0
0.053,64.7171929422269,0
0.054,64.7416586731907,0
0.055,64.7661239191559,0
0.056,64.7905886733915,0
0.057,64.8150529293072,0
0.058,64.8395166804531,0
0.059,64.863979920519,0
0.06,64.8884426433351,0
0.061,64.9129048428703,0
0.062,64.9373665132327,0
0.063,64.9618276486687,0
0.064,64.986288243563,0
0.065,65.0107482924374,0
0.066,65.0352077899523,0
0.067,65.0596667309045,0
0.068,65.0841251102274,0
0.069,65.1085829229907,0
0.07,65.1330401643997,0
0.071,65.1574968297952,0
0.072,65.1819529146533,0
0.073,65.2064084145844,0
0.074,65.2308633253333,0
0.075,65.2553176427788,0
0.076,65.2797713629328,0
0.077,65.3042244819401,0
0.078,65.3286769960784,0
0.079,65.3531289017574,0
0.08,65.3775801955185,0
0.081,65.4020308740344,0
0.082,65.4264809341086,0
0.083,65.4509303726755,0
0.084,65.4753791867988,0
0.085,65.4998273736725,0
0.086,65.5242749306188,0
0.087,65.5487218550894,0
0.088,65.5731681446642,0
0.089,65.5976137970507,0
0.09,65.6220588100836,0
0.091,65.6465031817247,0
0.092,65.6709469100621,0
0.093,65.69538999331,0
0.094,65.719832429808,0
0.095,65.7442742180205,0
0.096,65.7687153565371,0
0.097,65.7931558440709,0
0.098,65.8175956794591,0
0.099,65.8420348616616,0
0.1,65.8664733897611,0
0.101,65.8909112629625,0
0.102,65.9153484805922,0
0.103,65.9397850420979,0
0.104,65.9642209470483,0
0.105,65.9886561951322,0
0.106,66.0130907861581,0
0.107,66.0375247200534,0
0.108,66.0619579968642,0
0.109,66.0863906167549,0
0.11,66.1108225800079,0
0.111,66.1352538870221,0
0.112,66.1596845383132,0
0.113,66.1841145345134,0
0.114,66.2085438763699,0
0.115,66.2329725647454,0
0.116,66.2574006006167,0
0.117,66.2818279850747,0
0.118,66.3062547193238,0
0.119,66.3306808046813,0
0.12,66.3551062425767,0
0.121,66.3795310345515,0
0.122,66.4039551822583,0
0.123,66.4283786874603,0
0.124,66.4528015520308,0
0.125,66.4772237779527,0
0.126,66.501645367318,0
0.127,66.5260663223267,0
0.128,66.5504866452868,0
0.129,66.5749063386136,0
0.13,66.5993254048291,0
