X,Y
0,764.515803450808
0.001,833.253455876635
0.002,864.983159798071
0.003,863.901768513818
0.004,838.874539540313
0.005,801.366241171681
0.006,763.000327533377
0.007,732.583105442611
0.008,716.65702884806
0.009,717.064357914887
0.01,731.693036462361
0.011,755.543173545375
0.012,782.253607389879
0.013,805.024737926758
0.014,820.129935657253
0.015,825.898065220966
0.016,823.237982143952
0.017,815.035654277913
0.018,805.106203013252
0.019,796.375381062459
0.02,792.124125124555
0.021,793.631348785142
0.022,800.553184171053
0.023,811.222235346657
0.024,823.192581533575
0.025,833.268031411521
0.026,840.271671144388
0.027,843.614356557994
0.028,843.811978560989
0.029,842.203156323455
0.03,840.423011790677
0.031,839.254198692739
0.032,840.361841161129
0.033,844.265839373621
0.034,850.790734178205
0.035,859.188098401291
0.036,868.309875294774
0.037,876.273731453785
0.038,882.863578417328
0.039,887.847410131211
0.04,891.46051894035
0.041,894.253934216225
0.042,896.798174430684
0.043,898.877646025969
0.044,901.513384539987
0.045,905.03872178929
0.046,909.58603799053
0.047,915.097921893219
0.048,921.273425620423
0.049,927.04322582295
0.05,932.844740694565
0.051,938.733565619382
0.052,944.874363117643
0.053,951.455262557992
0.054,958.48536943981
0.055,965.168866087943
0.056,972.129857425113
0.057,979.451071346549
0.058,987.197968130155
0.059,995.379230776763
0.06,1003.71752449125
0.061,1011.04287920888
0.062,1018.33162440022
0.063,1025.51391190365
0.064,1032.51437752749
0.065,1039.26161949953
0.066,1045.47470549771
0.067,1050.13133177399
0.068,1054.47381703727
0.069,1058.76780009617
0.07,1063.28374183696
0.071,1068.23158193581
0.072,1073.45738632017
0.073,1077.94076413174
0.074,1082.73158827868
0.075,1087.75684646369
0.076,1092.8728055732
0.077,1097.88681981401
0.078,1102.32061544926
0.079,1105.05878936897
0.08,1107.20642169663
0.081,1108.94075714204
0.082,1110.51053550629
0.083,1112.18441703511
0.084,1113.91114435483
0.085,1114.97661617606
0.086,1116.66208510476
0.087,1119.15727752405
0.088,1122.55507715302
0.089,1126.84327390266
0.09,1131.61004493634
0.091,1135.85523643375
0.092,1140.54213718546
0.093,1145.64807049268
0.094,1151.15278278369
0.095,1157.02794839165
0.096,1162.91741742187
0.097,1168.02485251839
0.098,1173.43021115594
0.099,1179.27308924895
0.1,1185.69988869576
0.101,1192.84810391298
0.102,1200.5049055724
0.103,1208.06497859671
0.104,1216.61830246178
0.105,1226.2269575935
0.106,1236.81656862167
0.107,1248.15553762393
0.108,1259.51784857489
0.109,1269.78150245376
0.11,1279.51117447839
0.111,1288.37965675979
0.112,1296.15684563798
0.113,1302.76001197371
0.114,1307.90933119735
0.115,1311.26698059938
0.116,1314.34376361707
0.117,1317.77260689904
0.118,1322.13613265046
0.119,1327.86106220099
0.12,1334.74069688156
0.121,1342.1287473403
0.122,1350.78789982184
0.123,1360.31830066012
0.124,1370.16765754903
0.125,1379.72439493472
0.126,1387.98929465403
0.127,1393.98203998528
0.128,1398.53904543937
0.129,1401.71575485688
0.13,1403.68958948516
0.131,1404.69690233548
0.132,1404.5093375513
0.133,1402.79691071264
0.134,1400.77125276915
0.135,1398.57882510386
0.136,1396.25759402352
0.137,1393.76348339857
0.138,1390.48650204537
0.139,1385.81784807851
0.14,1380.93296042095
0.141,1376.02467085893
0.142,1371.26910210209
0.143,1366.76557418654
0.144,1361.79482752387
0.145,1355.48729525149
0.146,1349.06631435997
0.147,1342.4793795916
0.148,1335.58555718917
0.149,1328.14174730593
0.15,1318.85523353631
0.151,1306.40083007032
0.152,1292.50284847276
0.153,1277.59547138188
0.154,1262.2595625447
0.155,1247.09237612654
0.156,1231.58635734739
0.157,1215.17456103868
0.158,1199.96061651998
0.159,1186.51473143051
0.16,1175.31883979475
0.161,1166.72236103471
0.162,1160.32202128022
0.163,1155.82014783739
0.164,1154.0428515364
0.165,1154.68057233702
0.166,1157.23553892042
0.167,1161.10115220782
0.168,1165.36426621944
0.169,1169.57239636927
0.17,1173.7431989277
0.171,1177.37266640214
0.172,1180.04550926893
0.173,1181.51400491552
0.174,1181.44188360153
0.175,1180.16920643683
0.176,1178.54866097672
0.177,1176.86386545951
0.178,1175.35232732013
0.179,1174.21327343368
0.18,1173.2975808249
0.181,1172.92878595057
0.182,1173.69414421802
0.183,1175.46091758146
0.184,1177.97926051399
0.185,1180.98367762305
0.186,1183.75441530434
0.187,1186.36416788304
0.188,1189.87063796456
0.189,1194.74146934117
0.19,1201.59240196108
0.191,1211.17067874876
0.192,1223.48759527
0.193,1239.42289560511
0.194,1261.25564781479
0.195,1290.34571414695
0.196,1328.10469506503
0.197,1375.98307681641
0.198,1434.56118550436
0.199,1505.25993425708
0.2,1590.67594914002
0.201,1692.17497359003
0.202,1810.62741291064
0.203,1946.10608573384
0.204,2096.71099154033
0.205,2259.9703273038
0.206,2432.73586378356
0.207,2609.08227649229
0.208,2781.21542178324
0.209,2939.73068432762
0.21,3073.28405372888
0.211,3171.11039242399
0.212,3223.954578433
0.213,3223.27703709529
0.214,3163.06494072672
0.215,3040.6737228424
0.216,2856.56104260892
0.217,2616.35828928283
0.218,2330.61397749325
0.219,2012.47468859195
0.22,1677.45488337916
0.221,1342.1176804104
0.222,1021.72803696943
0.223,730.699665831058
0.224,481.15628074567
0.225,280.372842693072
0.226,131.024153879932
0.227,31.1914070742603
0.228,-26.0223526375686
0.229,-49.460164108745
0.23,-48.8822483325447
0.231,-35.052535345729
0.232,-17.5817928655636
0.233,-3.75258708324214
0.234,1.33212795173592
0.235,-2.7580725554178
0.236,-12.3989477339036
0.237,-22.0183825108882
0.238,-24.3711980901177
0.239,-11.7560996052207
0.24,21.7816151434567
0.241,81.6059959073284
0.242,171.103479293207
0.243,289.908266026041
0.244,434.595862196903
0.245,599.059006733858
0.246,774.212453186288
0.247,951.247075252598
0.248,1121.85686559453
0.249,1277.88069807674
0.25,1412.71403456984
0.251,1521.78818089392
0.252,1601.73823628383
0.253,1652.87021858441
0.254,1677.96346574777
0.255,1680.62469597315
0.256,1665.42098368626
0.257,1637.31225924617
0.258,1600.00429160267
0.259,1558.37502531818
0.26,1516.96576341578
0.261,1478.68457259812
0.262,1445.48984110359
0.263,1418.45434610514
0.264,1396.53099879447
