0.001,2031
0.002,2030
0.003,2029
0.004,2029
0.005,2030
0.006,2030
0.007,2030
0.008,2030
0.009,2031
0.01,2031
0.011,2032
0.012,2033
0.013,2034
0.014,2035
0.015,2036
0.016,2037
0.017,2039
0.018,2040
0.019,2041
0.02,2041
0.021,2042
0.022,2042
0.023,2042
0.024,2042
0.025,2042
0.026,2041
0.027,2041
0.028,2041
0.029,2041
0.03,2040
0.031,2040
0.032,2041
0.033,2041
0.034,2041
0.035,2042
0.036,2042
0.037,2043
0.038,2045
0.039,2046
0.04,2047
0.041,2047
0.042,2048
0.043,2048
0.044,2048
0.045,2048
0.046,2048
0.047,2048
0.048,2048
0.049,2048
0.05,2047
0.051,2046
0.052,2045
0.053,2044
0.054,2044
0.055,2044
0.056,2044
0.057,2045
0.058,2045
0.059,2045
0.06,2045
0.061,2045
0.062,2045
0.063,2045
0.064,2044
0.065,2044
0.066,2043
0.067,2043
0.068,2043
0.069,2043
0.07,2043
0.071,2043
0.072,2042
0.073,2043
0.074,2043
0.075,2043
0.076,2043
0.077,2044
0.078,2044
0.079,2044
0.08,2045
0.081,2045
0.082,2044
0.083,2045
0.084,2044
0.085,2044
0.086,2043
0.087,2043
0.088,2043
0.089,2042
0.09,2042
0.091,2041
0.092,2041
0.093,2040
0.094,2040
0.095,2039
0.096,2040
0.097,2040
0.098,2040
0.099,2041
0.1,2040
0.101,2040
0.102,2040
0.103,2040
0.104,2041
0.105,2041
0.106,2042
0.107,2042
0.108,2043
0.109,2044
0.11,2044
0.111,2045
0.112,2045
0.113,2046
0.114,2046
0.115,2046
0.116,2047
0.117,2047
0.118,2046
0.119,2046
0.12,2046
0.121,2047
0.122,2047
0.123,2047
0.124,2048
0.125,2049
0.126,2050
0.127,2052
0.128,2053
0.129,2055
0.13,2058
0.131,2060
0.132,2063
0.133,2065
0.134,2066
0.135,2067
0.136,2068
0.137,2069
0.138,2069
0.139,2068
0.14,2067
0.141,2066
0.142,2064
0.143,2063
0.144,2062
0.145,2062
0.146,2061
0.147,2061
0.148,2060
0.149,2060
0.15,2060
0.151,2060
0.152,2059
0.153,2059
0.154,2058
0.155,2057
0.156,2057
0.157,2055
0.158,2054
0.159,2052
0.16,2051
0.161,2050
0.162,2048
0.163,2048
0.164,2047
0.165,2047
0.166,2046
0.167,2046
0.168,2045
0.169,2044
0.17,2044
0.171,2043
0.172,2043
0.173,2044
0.174,2045
0.175,2046
0.176,2047
0.177,2047
0.178,2046
0.179,2046
0.18,2045
0.181,2043
0.182,2042
0.183,2041
0.184,2039
0.185,2037
0.186,2036
0.187,2034
0.188,2032
0.189,2031
0.19,2031
0.191,2030
0.192,2029
0.193,2029
0.194,2028
0.195,2029
0.196,2029
0.197,2029
0.198,2029
0.199,2029
0.2,2029
0.201,2029
0.202,2029
0.203,2029
0.204,2029
0.205,2029
0.206,2028
0.207,2029
0.208,2029
0.209,2029
0.21,2030
0.211,2030
0.212,2031
0.213,2030
0.214,2031
0.215,2032
0.216,2033
0.217,2034
0.218,2035
0.219,2036
0.22,2037
0.221,2038
0.222,2039
0.223,2040
0.224,2040
0.225,2040
0.226,2040
0.227,2039
0.228,2038
0.229,2038
0.23,2037
0.231,2036
0.232,2035
0.233,2033
0.234,2031
0.235,2028
0.236,2026
0.237,2024
0.238,2023
0.239,2023
0.24,2024
0.241,2025
0.242,2028
0.243,2031
0.244,2035
0.245,2041
0.246,2052
0.247,2066
0.248,2083
0.249,2105
0.25,2130
0.251,2156
0.252,2184
0.253,2211
0.254,2237
0.255,2262
0.256,2285
0.257,2307
0.258,2326
0.259,2345
0.26,2360
0.261,2368
0.262,2371
0.263,2360
0.264,2335
0.265,2294
0.266,2240
0.267,2179
0.268,2115
0.269,2052
0.27,1992
0.271,1937
0.272,1890
0.273,1850
0.274,1820
0.275,1799
0.276,1788
0.277,1785
0.278,1788
0.279,1797
0.28,1810
0.281,1827
0.282,1845
0.283,1863
0.284,1882
0.285,1899
0.286,1915
0.287,1929
0.288,1942
0.289,1954
0.29,1964
0.291,1974
0.292,1982
0.293,1989
0.294,1995
0.295,2000
0.296,2005
0.297,2009
0.298,2012
0.299,2014
0.3,2016
0.301,2018
0.302,2019
0.303,2020
0.304,2021
0.305,2022
0.306,2022
0.307,2022
0.308,2023
0.309,2023
0.31,2023
0.311,2023
0.312,2024
0.313,2024
0.314,2025
0.315,2025
0.316,2026
0.317,2026
0.318,2027
0.319,2028
0.32,2029
0.321,2030
0.322,2031
0.323,2031
0.324,2032
0.325,2032
0.326,2032
0.327,2032
0.328,2032
0.329,2032
0.33,2033
0.331,2034
0.332,2034
0.333,2035
0.334,2035
0.335,2035
0.336,2036
0.337,2035
0.338,2036
0.339,2036
0.34,2036
0.341,2037
0.342,2038
0.343,2039
0.344,2040
0.345,2040
0.346,2041
0.347,2041
0.348,2041
0.349,2042
0.35,2042
0.351,2041
0.352,2042
0.353,2042
0.354,2042
0.355,2041
0.356,2041
0.357,2041
0.358,2041
0.359,2042
0.36,2041
0.361,2041
0.362,2041
0.363,2042
0.364,2042
0.365,2043
0.366,2044
0.367,2044
0.368,2045
0.369,2047
0.37,2048
0.371,2049
0.372,2050
0.373,2052
0.374,2052
0.375,2053
0.376,2054
0.377,2053
0.378,2053
0.379,2053
0.38,2052
0.381,2052
0.382,2052
0.383,2052
0.384,2052
0.385,2051
0.386,2052
0.387,2052
0.388,2052
0.389,2052
0.39,2051
0.391,2051
0.392,2051
0.393,2051
0.394,2050
0.395,2050
0.396,2050
0.397,2050
0.398,2050
0.399,2050
0.4,2051
0.401,2051
0.402,2052
0.403,2052
0.404,2052
0.405,2051
0.406,2052
0.407,2051
0.408,2051
0.409,2051
0.41,2051
0.411,2051
0.412,2051
0.413,2051
0.414,2051
0.415,2051
0.416,2050
0.417,2050
0.418,2050
0.419,2050
0.42,2050
0.421,2050
0.422,2050
0.423,2050
0.424,2050
0.425,2050
0.426,2050
0.427,2051
0.428,2050
0.429,2050
0.43,2049
0.431,2049
0.432,2048
0.433,2048
0.434,2047
0.435,2047
0.436,2047
0.437,2047
0.438,2047
0.439,2048
0.44,2048
0.441,2048
0.442,2048
0.443,2048
0.444,2047
0.445,2047
0.446,2047
0.447,2046
0.448,2044
0.449,2043
0.45,2043
0.451,2041
0.452,2040
0.453,2039
0.454,2038
0.455,2037
0.456,2037
0.457,2036
0.458,2035
0.459,2035
0.46,2034
0.461,2033
0.462,2032
0.463,2032
0.464,2031
0.465,2030
0.466,2030
0.467,2029
0.468,2030
